cpu,memory,latency,error_rate,Class
15.552149599472108,33.97256497990847,60.95780709854375,4.1606286186025386e-05,0
15.937353160504006,37.258625188481744,32.97201438260668,0.00014553596980311048,0
14.920614241589265,46.694006154252676,21.575150385969316,2.2096236288739314e-05,0
7.33320275501611,31.96987400635305,24.635328869166067,2.574604515826192e-05,0
8.091526623799231,30.448006720521665,15.885140949882093,2.419048461031457e-05,0
9.916711528912765,28.801705703981177,14.188459680532201,5.075231220128303e-05,0
7.654240664223179,26.17847853171913,39.53639623797346,7.00754216065994e-05,0
9.620224656908785,31.734199420431537,31.605229334878242,0.00011478004859686343,0
6.689258826082581,34.60916740709378,37.03440108188854,9.88759884366214e-05,0
10.339016583033533,28.7784301370153,25.05207482599966,3.141601823437626e-05,0
5.765783692957305,36.91705860750788,29.0452661096007,3.578623619430423e-05,0
14.785073893930761,32.91812596089663,18.053872233916323,2.0663892101291834e-05,0
19.040873694420867,21.06395595679574,13.625742103962487,2.691236130060205e-06,0
10.863697658658467,38.73705517823804,27.588054103289544,4.6373441386885786e-05,0
14.774117007201374,43.416869675429496,13.063048199239255,1.989854583608733e-06,0
9.39005300016911,35.745454471659066,52.096912536512086,3.9688871138321435e-05,0
14.859886963813146,35.861140107521436,11.841293906821452,1.395151625472182e-05,0
95.91164059782975,97.34599699782201,742.502859302626,0.14741446036014977,1
6.899632114252762,37.09846032136073,14.778939219548075,8.323242436733186e-05,0
8.051777769243346,39.09215448782517,11.884289418815492,9.978076420996537e-06,0
86.79746705475014,98.70962629944668,791.5366421141406,0.1267248511968432,1
5.459910957932392,36.31737371424667,51.67269409669416,1.6194502005836326e-05,0
5.6608306109982225,25.94267008478731,17.70337508674918,3.381702269085733e-05,0
99.05125310723795,97.28770150110904,749.4043538607974,0.07806686012023178,1
8.531126054858538,40.758965919726606,17.005758586157803,1.4946245220069374e-05,0
93.50212329337914,96.93581257791726,684.7827488933126,0.05560592400566738,1
14.831595901189718,39.83543546534662,16.955025401903864,2.6359891118700748e-05,0
9.445497743086472,31.313252463481554,11.100198814205097,1.499064758611662e-05,0
12.09392794843186,39.50647862963749,56.058480771346275,2.251057842095445e-05,0
